morphology_code,preferred_term,search_terms
8070/3,"Squamous cell carcinoma, NOS","Squamous cell carcinoma, NOS; Carcinoma, epidermoid, NOS; Carcinoma, pure squamous, of urothelial tract [2024+]; Carcinoma, squamous; Carcinoma, squamous cell, NOS; Epidermoid carcinoma, NOS; Epithelioma, squamous cell; Hybrid verrucous carcinoma [2026+]; Nasopharyngeal carcinoma [2026+]; Pure squamous carcinoma of urothelial tract [2024+]; Squamous carcinoma; Squamous carcinoma, pure, of urothelial tract [2024+]; Squamous cell epithelioma; Nasopharyngeal carcinoma; Hybrid verrucous carcinoma"
8070/6,"Squamous cell carcinoma, metastatic, NOS","Squamous cell carcinoma, metastatic, NOS; Carcinoma, squamous cell, metastatic, NOS; Carcinoma, squamous cell, NOS, metastatic; Metastatic squamous cell carcinoma, NOS"
8071/2,Differentiated penile [or vulvar] intraepithelial neoplasia (C60._  [or C51._]) [2018+ CASES ONLY],"Differentiated penile [or vulvar] intraepithelial neoplasia (C60._  [or C51._]) [2018+ CASES ONLY]; Differentiated penile intraepithelial neoplasia (C60._) [2018+ CASES ONLY]; Differentiated-type vulvar intraepithelial neoplasia (C51._) [2018+ CASES ONLY]; Intraepithelial neoplasia, penile differentiated (C60._) [2018+ CASES ONLY]; Intraepithelial neoplasia, vulvar differentiated-type (C51._) [2018+ CASES ONLY]"
8071/3,"Squamous cell carcinoma, keratinizing, NOS","Squamous cell carcinoma, keratinizing, NOS; Carcinoma, epidermoid, keratinizing; Carcinoma, large cell, squamous cell, keratinizing; Carcinoma, squamous cell, keratinizing, NOS; Carcinoma, squamous cell, large cell, keratinizing; Epidermoid carcinoma, keratinizing; Keratinizing epidermoid carcinoma; Keratinizing squamous cell carcinoma, large cell; Keratinizing squamous cell carcinoma, NOS; Keratoacanthoma [2021+]; Large cell carcinoma, squamous cell, keratinizing; Squamous cell carcinoma, large cell, keratinizing"
8072/3,"Squamous cell carcinoma, large cell, nonkeratinizing, NOS","Squamous cell carcinoma, large cell, nonkeratinizing, NOS; Carcinoma, epidermoid, large cell, nonkeratinizing; Carcinoma, large cell epidermoid, nonkeratinizing; Carcinoma, large cell, squamous cell, nonkeratinizing, NOS; Carcinoma, squamous cell, large cell, nonkeratinizing, NOS; Carcinoma, squamous cell, nonkeratinizing, NOS; DRK::AFF2 squamous cell carcinoma [2026+]; Epidermoid carcinoma, large cell, nonkeratinizing; Large cell carcinoma, epidermoid, nonkeratinizing; Large cell carcinoma, squamous cell, nonkeratinizing, NOS; Nonkeratinizing epidermoid carcinoma, large cell; Nonkeratinizing squamous cell carcinoma, large cell, NOS; Nonkeratinizing squamous cell carcinoma, NOS; Squamous cell carcinoma, nonkeratinizing, NOS; DRK::AFF2 squamous cell carcinoma"
8073/3,"Squamous cell carcinoma, small cell, nonkeratinizing","Squamous cell carcinoma, small cell, nonkeratinizing; Carcinoma, epidermoid, small cell, nonkeratinizing; Carcinoma, small cell, squamous cell, nonkeratinizing; Carcinoma, squamous cell, small cell, nonkeratinizing; Epidermoid carcinoma, small cell, nonkeratinizing; Nonkeratinizing epidermoid carcinoma, small cell; Nonkeratinizing squamous cell carcinoma, small cell; Small cell carcinoma, epidermoid, nonkeratinizing; Small cell carcinoma, squamous cell, nonkeratinizing"
8074/3,"Squamous cell carcinoma, spindle cell","Squamous cell carcinoma, spindle cell; Carcinoma, epidermoid, spindle cell; Carcinoma, squamous cell, pseudovascular [2021+]; Carcinoma, squamous cell, sarcomatoid; Carcinoma, squamous cell, spindle cell; Epidermoid carcinoma, spindle cell; Pseudovascular squamous cell carcinoma [2021+]; Sarcomatoid carcinoma, squamous cell; Sarcomatoid squamous cell carcinoma; Spindle cell epidermoid carcinoma; Spindle cell squamous cell carcinoma; Squamous cell carcinoma, pseudovascular [2021+]; Squamous cell carcinoma, sarcomatoid"
8075/3,"Squamous cell carcinoma, adenoid","Squamous cell carcinoma, adenoid; Acantholytic squamous cell carcinoma; Adenoid squamous cell carcinoma; Carcinoma, acantholytic squamous cell; Carcinoma, adenoid squamous cell; Carcinoma, pseudoglandular, squamous cell; Carcinoma, squamous cell, acantholytic; Carcinoma, squamous cell, adenoid; Carcinoma, squamous cell, pseudoglandular; Pseudoglandular squamous cell carcinoma; Squamous cell carcinoma, acantholytic; Squamous cell carcinoma, pseudoglandular"
8076/2,Squamous cell carcinoma in situ with questionable stromal invasion,"Squamous cell carcinoma in situ with questionable stromal invasion; Carcinoma in situ, epidermoid with questionable stromal invasion; Carcinoma in situ, squamous cell with questionable stromal invasion; Carcinoma, epidermoid in situ with questionable stromal invasion; Carcinoma, squamous cell, in situ, with questionable stromal invasion; Epidermoid carcinoma in situ with questionable stromal invasion; In situ carcinoma, epidermoid with questionable stromal invasion; In situ carcinoma, squamous cell with questionable stromal invasion; In situ epidermoid carcinoma with questionable stromal invasion; In situ squamous cell carcinoma with questionable stromal invasion; Questionable stromal invasion, epidermoid carcinoma in situ with; Questionable stromal invasion, squamous cell carcinoma in situ with"
8076/3,"Squamous cell carcinoma, microinvasive","Squamous cell carcinoma, microinvasive; Carcinoma, microinvasive squamous cell; Carcinoma, squamous cell, microinvasive; Microinvasive squamous cell carcinoma"
