morphology_code,preferred_term,search_terms
8931/3,"Endometrial stromal sarcoma, low grade (C54.1)","Endometrial stromal sarcoma, low grade (C54.1); Endolymphatic stromal myosis (C54.1); Endometrial stromatosis (C54.1); Endometriosis, stromal (C54.1); Low grade endometrial stromal sarcoma (C54.1); Myosis, stromal, endolymphatic (C54.1); Myosis, stromal, NOS (C54.1); Sarcoma, endometrial stromal, low grade (C54.1); Sarcoma, stromal, endometrial, low grade (C54.1); Stromal endometriosis (C54.1); Stromal myosis, endolymphatic (C54.1); Stromal myosis, NOS (C54.1); Stromal sarcoma, endometrial, low grade (C54.1); Stromatosis, endometrial (C54.1)"
8932/0,Adenomyoma,"Adenomyoma; Adenomyoma, atypical polypoid; Atypical polypoid adenomyoma; Polypoid atypical adenomyoma"
8933/3,Adenosarcoma,"Adenosarcoma; Adenosarcoma, Mullerian (C54._, C55.9); Mullerian adenosarcoma (C54._, C55.9)"
8934/3,Carcinofibroma,Carcinofibroma
8935/0,"Stromal tumor, benign","Stromal tumor, benign; Tumor, stromal, benign"
8935/1,"Stromal tumor, NOS","Stromal tumor, NOS; Tumor, stromal, NOS"
8935/3,"Stromal sarcoma, NOS","Stromal sarcoma, NOS; Sarcoma, stromal, NOS"
8936/0,"Gastrointestinal stromal tumor, benign","Gastrointestinal stromal tumor, benign; GIST, benign; Stromal tumor, gastrointestinal, benign; Tumor, gastrointestinal stromal, benign; Tumor, stromal, gastrointestinal, benign"
8936/1,"Gastrointestinal stromal tumor, NOS [PRE-2021 ONLY. FOR 2021+ USE CODE 8936/3.]","Gastrointestinal stromal tumor, NOS [PRE-2021 ONLY. FOR 2021+ USE CODE 8936/3.]; Autonomic nerve tumor, gastrointestinal [PRE-2021 ONLY. FOR 2021+ USE CODE 8936/3.]; GANT [PRE-2021 ONLY. FOR 2021+ USE CODE 8936/3.]; Gastrointestinal autonomic nerve tumor [PRE-2021 ONLY. FOR 2021+ USE CODE 8936/3.]; Gastrointestinal pacemaker cell tumor [PRE-2021 ONLY. FOR 2021+ USE CODE 8936/3.]; Gastrointestinal stromal tumor, uncertain malignant potential; GIST, NOS [PRE-2021 ONLY. FOR 2021+ USE CODE 8936/3.]; Pacemaker cell tumor, gastrointestinal [PRE-2021 ONLY. FOR 2021+ USE CODE 8936/3.]; Potential, uncertain malignant, gastrointestinal stromal tumor; Stromal tumor, gastrointestinal, NOS [PRE-2021 ONLY. FOR 2021+ USE CODE 8936/3.]; Stromal tumor, gastrointestinal, uncertain malignant potential; Tumor, autonomic nerve, gastrointestinal [PRE-2021 ONLY. FOR 2021+ USE CODE 8936/3.]; Tumor, gastrointestinal stromal, NOS [PRE-2021 ONLY. FOR 2021+ USE CODE 8936/3.]; Tumor, gastrointestinal stromal, uncertain malignant potential; Tumor, gastrointestinal, autonomic nerve [PRE-2021 ONLY. FOR 2021+ USE CODE 8936/3.]; Tumor, gastrointestinal, pacemaker cell [PRE-2021 ONLY. FOR 2021+ USE CODE 8936/3.]; Tumor, pacemaker cell, gastrointestinal [PRE-2021 ONLY. FOR 2021+ USE CODE 8936/3.]; Tumor, stromal, gastrointestinal, uncertain malignant potential; Uncertain malignant potential, tumor, gastrointestinal stromal"
8936/3,"Gastrointestinal stromal tumor, NOS [REPORTABLE 2021+]","Gastrointestinal stromal tumor, NOS [REPORTABLE 2021+]; Autonomic nerve tumor, gastrointestinal [REPORTABLE 2021+]; GANT [REPORTABLE 2021+]; Gastrointestinal autonomic nerve tumor [REPORTABLE 2021+]; Gastrointestinal pacemaker cell tumor [REPORTABLE 2021+]; Gastrointestinal stromal sarcoma; Gastrointestinal stromal tumor, malignant; GIST, malignant; GIST, NOS [REPORTABLE 2021+]; Pacemaker cell tumor, gastrointestinal [REPORTABLE 2021+]; Sarcoma, gastrointestinal stromal; Sarcoma, stromal, gastrointestinal; Stromal sarcoma, gastrointestinal; Stromal tumor, gastrointestinal, malignant; Stromal tumor, gastrointestinal, NOS [REPORTABLE 2021+]; Tumor, autonomic nerve, gastrointestinal [REPORTABLE 2021+]; Tumor, gastrointestinal stromal, malignant; Tumor, gastrointestinal stromal, NOS [REPORTABLE 2021+]; Tumor, gastrointestinal, autonomic nerve [REPORTABLE 2021+]; Tumor, gastrointestinal, pacemaker cell [REPORTABLE 2021+]; Tumor, pacemaker cell, gastrointestinal [REPORTABLE 2021+]; Tumor, stromal, gastrointestinal, malignant"
8940/0,Pleomorphic adenoma,"Pleomorphic adenoma; Adenoma, pleomorphic; Chondroid syringoma (C44._); Mixed tumor, NOS; Mixed tumor, salivary gland type, NOS (C07._, C08._); Salivary gland type mixed tumor, NOS (C07._, C08._); Syringoma, chondroid (C44._); Tumor, mixed, NOS; Tumor, mixed, salivary gland type, NOS (C07._,C08._)"
8940/3,"Mixed tumor, malignant, NOS","Mixed tumor, malignant, NOS; Chondroid syringoma, malignant (C44._); Malignant chondroid syringoma (C44._); Mixed tumor, salivary gland type, malignant (C07._,C08._); Salivary gland type mixed tumor, malignant (C07._,C08._); Syringoma, chondroid, malignant (C44._); Tumor, malignant, mixed, NOS; Tumor, malignant, mixed, salivary gland type (C07._,C08._); Tumor, mixed, malignant, NOS; Tumor, mixed, salivary gland type, malignant (C07._,C08._)"
8941/3,"Carcinoma in pleomorphic adenoma (C07._, C08._)","Carcinoma in pleomorphic adenoma (C07._, C08._); Adenoma, pleomorphic, carcinoma in (C07._, C08._); Pleomorphic adenoma, carcinoma in (C07._, C08._)"
8950/3,Mullerian mixed tumor (C54._),"Mullerian mixed tumor (C54._); Mixed Mullerian tumor (C54._); Mixed tumor, Mullerian (C54._); Tumor, Mullerian mixed (C54._)"
8951/3,Mesodermal mixed tumor,"Mesodermal mixed tumor; Mixed mesodermal tumor; Mixed tumor, mesodermal; Tumor, mesodermal, mixed; Tumor, mixed mesodermal"
8959/0,Benign cystic nephroma (C64.9),"Benign cystic nephroma (C64.9); Cystic nephroma, benign (C64.9); Nephroma, cystic, benign (C64.9)"
8959/1,Cystic partially differentiated nephroblastoma (C64.9),"Cystic partially differentiated nephroblastoma (C64.9); Cystic nephroblastoma, partially differentiated (C64.9); Nephroblastoma, cystic partially differentiated (C64.9); Partially differentiated nephroblastoma, cystic (C64.9)"
8959/3,Malignant cystic nephroma (C64.9),"Malignant cystic nephroma (C64.9); Cystic nephroma, malignant (C64.9); Cystic nephroma, multilocular, malignant (C64.9); Malignant multilocular cystic nephroma (C64.9); Multilocular cystic nephroma, malignant (C64.9); Nephroma, cystic, malignant (C64.9); Nephroma, cystic, multilocular, malignant (C64.9)"
8960/1,Mesoblastic nephroma,"Mesoblastic nephroma; Cellular congenital mesoblastic nephroma (C64.9) [2024+; NOT REPORTABLE]; Classic congenital mesoblastic nephroma (C64.9) [2024+; NOT REPORTABLE]; Mesoblastic nephroma, cellular congenital (C64.9) [2024+; NOT REPORTABLE]; Mesoblastic nephroma, classic congenital (C64.9) [2024+; NOT REPORTABLE]; Mesoblastic nephroma, mixed congenital (C64.9) [2024+; NOT REPORTABLE]; Mixed congenital mesoblastic nephroma (C64.9) [2024+; NOT REPORTABLE]; Nephroma, mesoblastic; Nephroma, mesoblastic, cellular congenital (C64.9) [2024+; NOT REPORTABLE]; Nephroma, mesoblastic, classic congenital (C64.9) [2024+; NOT REPORTABLE]; Nephroma, mesoblastic, mixed congenital (C64.9) [2024+; NOT REPORTABLE]"
8960/3,"Nephroblastoma, NOS (C64.9)","Nephroblastoma, NOS (C64.9); Nephroma, NOS (C64.9); Tumor, Wilms (C64.9); Wilms tumor (C64.9)"
8963/3,"Rhabdoid tumor, NOS","Rhabdoid tumor, NOS; Malignant rhabdoid tumor; Rhabdoid sarcoma; Rhabdoid tumor, malignant; Sarcoma, rhabdoid; Tumor, rhabdoid, malignant; Tumor, rhabdoid, NOS"
8964/3,Clear cell sarcoma of kidney (C64.9),"Clear cell sarcoma of kidney (C64.9); Sarcoma, clear cell of kidney (C64.9)"
8965/0,"Nephrogenic adenofibroma (C64.9) [obs] [PRE-2021 ONLY. FOR 2021+, USE CODE 9013/0.]","Nephrogenic adenofibroma (C64.9) [obs] [PRE-2021 ONLY. FOR 2021+, USE CODE 9013/0.]; Adenofibroma, nephrogenic (C64.9) [obs] [PRE-2021 ONLY. FOR 2021+, USE CODE 9013/0.]"
8966/0,Renomedullary interstitial cell tumor (C64.9),"Renomedullary interstitial cell tumor (C64.9); Fibroma, renomedullary (C64.9); Interstitial cell tumor, renomedullary (C64.9); Renomedullary fibroma (C64.9); Tumor, renomedullary interstitial cell (C64.9)"
8967/0,Ossifying renal tumor (C64.9),"Ossifying renal tumor (C64.9); Ossifying renal tumor of infancy (C64.9) [2024+; NOT REPORTABLE]; Renal tumor of infancy, ossifying (C64.9) [2024+; NOT REPORTABLE]; Renal tumor, ossifying (C64.9); Tumor, ossifying renal (C64.9); Tumor, ossifying renal, of infancy (C64.9) [2024+; NOT REPORTABLE]; Tumor, renal, ossifying (C64.9); Tumor, renal, ossifying, of infancy (C64.9) [2024+; NOT REPORTABLE]"
8970/3,Hepatoblastoma (C22.0),"Hepatoblastoma (C22.0); Embryonal hepatoma (C22.0); Hepatoblastoma, epithelioid (C22.0); Hepatoblastoma, mixed epithelial-mesenchymal (C22.0); Hepatoma, embryonal (C22.0)"
8971/3,Pancreatoblastoma (C25._),Pancreatoblastoma (C25._)
8972/3,Pulmonary blastoma (C34._),"Pulmonary blastoma (C34._); Blastoma, pulmonary (C34._); Pneumoblastoma (C34._)"
8973/3,Pleuropulmonary blastoma,"Pleuropulmonary blastoma; Blastoma, pleuropulmonary"
8974/1,Sialoblastoma,Sialoblastoma
8975/1,Calcifying nested epithelial stromal tumor (C22.0),"Calcifying nested epithelial stromal tumor (C22.0); Epithelial stromal tumor, calcifying nested (C22.0); Stromal tumor, epithelial, calcifying nested (C22.0); Tumor, epithelial stromal, calcifying nested (C22.0)"
8976/3,Gastroblastoma (C16._) [2022+),Gastroblastoma (C16._) [2022+)
8980/3,"Carcinosarcoma, NOS","Carcinosarcoma, NOS"
8981/3,"Carcinosarcoma, embryonal","Carcinosarcoma, embryonal; Embryonal carcinosarcoma"
8982/0,Myoepithelioma,"Myoepithelioma; Adenoma, myoepithelial; Myoepithelial adenoma; Myoepithelial tumor; Tumor, myoepithelial"
8982/3,Myoepithelial carcinoma,"Myoepithelial carcinoma; Carcinoma, myoepithelial; Malignant myoepithelioma; Myoepithelioma, malignant"
8983/0,Adenomyoepithelioma (C50._),Adenomyoepithelioma (C50._)
8983/3,Adenomyoepithelioma with carcinoma (C50._),Adenomyoepithelioma with carcinoma (C50._); Carcinoma with adenomyoepithelioma (C50._)
8990/0,"Mesenchymoma, benign","Mesenchymoma, benign"
8990/1,"Mesenchymoma, NOS","Mesenchymoma, NOS; Mesenchymal tumor, mixed; Mixed mesenchymal tumor; Tumor, mesenchymal, mixed; Tumor, mixed mesenchymal"
8990/3,"Mesenchymoma, malignant","Mesenchymoma, malignant; Mesenchymal sarcoma, mixed; Mesenchymal tumor, phosphaturic, malignant; Mixed mesenchymal sarcoma; Neoplasm, NTRK-rearranged spindle cell (emerging) [2022+]; Neoplasm, spindle cell, NTRK-rearranged (emerging) [2022+]; NTRK-rearranged spindle cell neoplasm (emerging) [2022+]; Phosphaturic mesenchymal tumor, malignant; Sarcoma, mesenchymal, mixed; Tumor, mesenchymal, phosphaturic, malignant"
8991/3,Embryonal sarcoma,"Embryonal sarcoma; Sarcoma, embryonal"
8992/0,Pulmonary hamartoma (C34._) [2021+],"Pulmonary hamartoma (C34._) [2021+]; Hamartoma, pulmonary (C34._) [2021+]"
9000/0,"Brenner tumor, NOS (C56.9)","Brenner tumor, NOS (C56.9); Tumor, Brenner, NOS (C56.9)"
9000/1,"Brenner tumor, borderline malignancy (C56.9)","Brenner tumor, borderline malignancy (C56.9); Brenner tumor, proliferating (C56.9); Proliferating Brenner tumor (C56.9); Tumor, Brenner, borderline malignancy (C56.9); Tumor, Brenner, proliferating (C56.9)"
9000/3,"Brenner tumor, malignant (C56.9)","Brenner tumor, malignant (C56.9); Tumor, Brenner, malignant (C56.9)"
9010/0,"Fibroadenoma, NOS (C50._)","Fibroadenoma, NOS (C50._)"
9011/0,Intracanalicular fibroadenoma (C50._),"Intracanalicular fibroadenoma (C50._); Fibroadenoma, intracanalicular (C50._)"
9012/0,Pericanalicular fibroadenoma (C50._),"Pericanalicular fibroadenoma (C50._); Fibroadenoma, pericanalicular (C50._)"
9013/0,"Adenofibroma, NOS","Adenofibroma, NOS; Adenofibroma, metanephric (C64.9); Adenofibroma, nephrogenic (C64.9) [2021+ ONLY. FOR PRE-2021, USE CODE 8965/0.]; Adenofibroma, papillary; Cystadenofibroma, NOS; Metanephric adenofibroma (C64.9); Nephrogenic adenofibroma (C64.9) [2021+ ONLY. FOR PRE-2021, USE CODE 8965/0.]; Papillary adenofibroma"
9014/0,"Serous adenofibroma, NOS","Serous adenofibroma, NOS; Adenofibroma, serous, NOS; Cystadenofibroma, serous, NOS; Serous cystadenofibroma, NOS"
9014/1,Serous adenofibroma of borderline malignancy,"Serous adenofibroma of borderline malignancy; Adenofibroma, serous, borderline malignancy; Cystadenofibroma, serous, borderline malignancy; Serous cystadenofibroma of borderline malignancy"
9014/3,Serous adenocarcinofibroma,"Serous adenocarcinofibroma; Adenocarcinofibroma, serous; Adenofibroma, serous, malignant; Cystadenocarcinofibroma, serous; Cystadenofibroma, serous, malignant; Malignant serous adenofibroma; Malignant serous cystadenofibroma; Serous adenofibroma, malignant; Serous cystadenocarcinofibroma"
9015/0,"Mucinous adenofibroma, NOS","Mucinous adenofibroma, NOS; Adenofibroma, mucinous; Cystadenofibroma, mucinous, NOS; Mucinous cystadenofibroma, NOS"
9015/1,Mucinous adenofibroma of borderline malignancy,"Mucinous adenofibroma of borderline malignancy; Adenofibroma, mucinous, of borderline malignancy; Cystadenofibroma, mucinous, borderline malignancy; Mucinous cystadenofibroma of borderline malignancy"
9015/3,Mucinous adenocarcinofibroma,"Mucinous adenocarcinofibroma; Adenocarcinofibroma, mucinous; Cystadenocarcinofibroma, mucinous; Cystadenofibroma, mucinous, malignant; Malignant mucinous adenofibroma; Malignant mucinous cystadenofibroma; Mucinous cystadenocarcinofibroma; Mucinous cystadenofibroma, malignant; Mucinous, adenofibroma, malignant"
9016/0,Giant fibroadenoma (C50._),"Giant fibroadenoma (C50._); Fibroadenoma, giant (C50._)"
9020/0,"Phyllodes tumor, benign (C50._)","Phyllodes tumor, benign (C50._); Cystosarcoma phyllodes, benign (C50._) [obs]; Phyllodes, cystosarcoma, benign (C50._) [obs]; Tumor, phyllodes, benign (C50._)"
9020/1,"Phyllodes tumor, borderline (C50._)","Phyllodes tumor, borderline (C50._); Cystosarcoma phyllodes, NOS (C50._); Phyllodes tumor, NOS (C50._); Phyllodes, cystosarcoma, NOS (C50._); Tumor, phyllodes, borderline (C50._); Tumor, phyllodes, NOS (C50._)"
9020/3,"Phyllodes tumor, malignant (C50._)","Phyllodes tumor, malignant (C50._); Cystosarcoma phyllodes, malignant (C50._); Periductal stromal tumor, low grade (C50._); Phyllodes, cystosarcoma, malignant (C50._); Stromal tumor, periductal, low grade (C50._); Tumor, periductal stromal, low grade (C50._); Tumor, phyllodes, malignant (C50._)"
9030/0,Juvenile fibroadenoma (C50._),"Juvenile fibroadenoma (C50._); Fibroadenoma, juvenile (C50._)"
9040/0,"Synovioma, benign","Synovioma, benign"
9040/3,"Synovial sarcoma, NOS","Synovial sarcoma, NOS; Sarcoma, synovial, NOS; Synovioma, malignant; Synovioma, NOS"
9041/3,"Synovial sarcoma, spindle cell","Synovial sarcoma, spindle cell; Fibrous synovial sarcoma, monophasic; Monophasic fibrous synovial sarcoma; Sarcoma, synovial, monophasic fibrous; Sarcoma, synovial, spindle cell; Spindle cell synovial sarcoma; Synovial sarcoma, monophasic fibrous"
9042/3,"Synovial sarcoma, epithelioid cell","Synovial sarcoma, epithelioid cell; Epithelioid cell synovial sarcoma; Sarcoma, synovial, epithelioid cell"
9043/3,"Synovial sarcoma, biphasic","Synovial sarcoma, biphasic; Biphasic synovial sarcoma; Sarcoma, synovial, biphasic"
9044/3,Clear cell sarcoma (except of kidney M-8964/3),"Clear cell sarcoma (except of kidney M-8964/3); Aponeuroses and tendons, clear cell sarcoma (C49._); Clear cell sarcoma of tendons and aponeuroses (C49._); Melanoma, malignant, of soft parts (C49._); Sarcoma, clear cell of tendons and aponeuroses (C49._); Sarcoma, clear cell, NOS (except of kidney M-8964/3); Soft parts, melanoma, malignant (C49._)"
9045/3,"Biphenotypic sinonasal sarcoma (C30.0, C31.0-C31.3, C31.8, C31.9) [2018+]","Biphenotypic sinonasal sarcoma (C30.0, C31.0-C31.3, C31.8, C31.9) [2018+]; Sarcoma, sinonasal, biphenotypic (C30.0, C31.0-C31.3, C31.8, C31.9) [2018+]; Sinonasal sarcoma, biphenotypic (C30.0, C31.0-C31.3, C31.8, C31.9) [2018+]"
9050/0,"Mesothelioma, benign","Mesothelioma, benign"
9050/2,Mesothelioma in situ [REPORTABLE 2023+],Mesothelioma in situ [REPORTABLE 2023+]; In situ mesothelioma [REPORTABLE 2023+]
9050/3,"Mesothelioma, malignant","Mesothelioma, malignant; Diffuse pleural mesothelioma (C38.4) [2023+]; Localized pleural mesothelioma (C38.4) [2023+]; Mesothelioma, NOS; Mesothelioma, pleural, diffuse (C38.4) [2023+]; Mesothelioma, pleural, localized (C38.4) [2023+]; Pleural mesothelioma, diffuse (C38.4) [2023+]; Pleural mesothelioma, localized (C38.4) [2023+]"
9051/0,"Fibrous mesothelioma, benign","Fibrous mesothelioma, benign; Mesothelioma, fibrous, benign"
9051/3,"Fibrous mesothelioma, malignant","Fibrous mesothelioma, malignant; Desmoplastic mesothelioma; Fibrous mesothelioma, NOS; Mesothelioma, desmoplastic; Mesothelioma, fibrous, malignant; Mesothelioma, fibrous, NOS; Mesothelioma, sarcomatoid; Mesothelioma, spindled; Sarcomatoid mesothelioma; Spindled mesothelioma"
9052/0,"Epithelioid mesothelioma, benign","Epithelioid mesothelioma, benign; Mesothelial papilloma; Mesothelioma, epithelioid, benign; Mesothelioma, papillary, well differentiated, benign; Papillary mesothelioma, well differentiated, benign; Papilloma, mesothelial; Well differentiated papillary mesothelioma, benign"
9052/3,"Epithelioid mesothelioma, malignant","Epithelioid mesothelioma, malignant; Epithelioid mesothelioma, NOS; Mesothelioma, epithelioid, malignant; Mesothelioma, epithelioid, NOS"
9053/3,"Mesothelioma, biphasic, malignant","Mesothelioma, biphasic, malignant; Biphasic mesothelioma, malignant; Biphasic mesothelioma, NOS; Mesothelioma, biphasic, NOS"
9054/0,"Adenomatoid tumor, NOS","Adenomatoid tumor, NOS; Tumor, adenomatoid, NOS"
9055/0,"Multicystic mesothelioma, benign","Multicystic mesothelioma, benign; Cystic mesothelioma, benign (C48._); Mesothelioma, cystic, benign (C48._); Mesothelioma, multicystic, benign"
9055/1,"Cystic mesothelioma, NOS (C48._)","Cystic mesothelioma, NOS (C48._); Mesothelioma, cystic, NOS (C48._)"
9060/3,Dysgerminoma,Dysgerminoma
9061/2,Intratubular seminoma (C62._) [2024+],"Intratubular seminoma (C62._) [2024+]; Intratubular trophoblast (C62._) [2024+]; Seminoma, intratubular (C62._) [2024+]; Trophoblast, intratubular (C62._) [2024+]"
9061/3,"Seminoma, NOS (C62._)","Seminoma, NOS (C62._); Seminoma with syncytiotrophoblastic cells (C62._) [2024+]"
9062/3,"Seminoma, anaplastic (C62._)","Seminoma, anaplastic (C62._); Anaplastic seminoma (C62._); Seminoma with high mitotic index (C62._)"
9063/3,Spermatocytic seminoma (C62._),"Spermatocytic seminoma (C62._); Seminoma, spermatocytic (C62._); Spermatocytic tumor with sarcomatous differentiation (C62._) [2024+]; Spermatocytoma (C62._); Tumor with sarcomatous differentiation, spermatocytic (C62._) [2024+]"
9064/2,Intratubular malignant germ cells (C62._),"Intratubular malignant germ cells (C62._); Germ cell neoplasia, intratubular (C62._); Germ cells, intratubular malignant (C62._); Intratubular germ cell neoplasia (C62._); Neoplasia, intratubular germ cell (C62._)"
9064/3,Germinoma,"Germinoma; Germ cell tumor, NOS; Tumor, germ cell, NOS"
9065/3,"Germ cell tumor, nonseminomatous (C62._)","Germ cell tumor, nonseminomatous (C62._); Tumor, germ cell, nonseminomatous (C62._); Tumor, nonseminomatous germ cell (C62._)"
9070/2,Intratubular embryonal carcinoma [2024+],"Intratubular embryonal carcinoma [2024+]; Carcinoma, embryonal, intratubular [2024+]; Embryonal carcinoma, intratubular [2024+]"
9070/3,"Embryonal carcinoma, NOS","Embryonal carcinoma, NOS; Adenocarcinoma, embryonal; Carcinoma, embryonal, NOS; Embryonal adenocarcinoma"
9071/2,Intratubular yolk sac tumor [2024+],"Intratubular yolk sac tumor [2024+]; Tumor, yolk sac, intratubular [2024+]; Yolk sac tumor, intratubular [2024+]"
9071/3,Yolk sac tumor,"Yolk sac tumor; Carcinoma, embryonal, infantile; Carcinoma, infantile, embryonal; Embryonal carcinoma, infantile; Endodermal sinus tumor; Hepatoid yolk sac tumor; Infantile embryonal carcinoma; Orchioblastoma (C62._); Polyvesicular vitelline tumor; Sinus tumor, endodermal; Tumor, endodermal sinus; Tumor, polyvesicular vitelline; Tumor, sinus, endodermal; Tumor, vitelline, polyvesicular; Tumor, yolk sac; Tumor, yolk sac, hepatoid; Vitelline tumor, polyvesicular; Yolk sac tumor, hepatoid"
9072/3,Polyembryoma,"Polyembryoma; Carcinoma, embryonal, polyembryonal type; Embryonal carcinoma, polyembryonal type; Polyembryonal type embryonal carcinoma"
9073/1,Gonadoblastoma,Gonadoblastoma; Gonocytoma
9080/0,"Teratoma, benign","Teratoma, benign; Adult cystic teratoma; Adult teratoma, cystic; Adult teratoma, NOS; Cystic teratoma, adult; Cystic teratoma, NOS; Differentiated teratoma; Mature teratoma; Teratoma, adult, cystic; Teratoma, adult, NOS; Teratoma, cystic, adult; Teratoma, cystic, NOS; Teratoma, differentiated; Teratoma, mature"
9080/1,"Teratoma, NOS","Teratoma, NOS; Immature teratoma of the lung (C34._) [2021+, NOT REPORTABLE]; Immature teratoma of the thymus (C37.9) [2021+, NOT REPORTABLE]; Immature teratoma of the thyroid (C73.9) [2021+, NOT REPORTABLE]; Solid teratoma; Teratoma, immature (C34._) [2021+, NOT REPORTABLE]; Teratoma, immature (C37.9) [2021+, NOT REPORTABLE]; Teratoma, immature (C73.9) [2021+, NOT REPORTABLE]; Teratoma, solid"
9080/2,Intratubular teratoma [2024+],"Intratubular teratoma [2024+]; Teratoma, intratubular [2024+]"
9080/3,"Teratoma, postpubertal-type [2024+]","Teratoma, postpubertal-type [2024+]; Embryonal teratoma; Immature teratoma, malignant; Immature teratoma, NOS [FOR 2021+, USE CODE 9080/1 FOR C34._, C37.9, C73.9]; Postpubertal-type teratoma [2024+]; Teratoblastoma, malignant; Teratoma, embryonal; Teratoma, immature, malignant; Teratoma, immature, NOS [FOR 2021+, USE CODE 9080/1 FOR C34._, C37.9, C73.9]; Teratoma, malignant, NOS"
9081/3,Teratocarcinoma,"Teratocarcinoma; Carcinoma, embryonal and teratoma, mixed; Embryonal carcinoma and teratoma, mixed; Mixed embryonal carcinoma and teratoma; Mixed teratoma and embryonal carcinoma; Teratoma and embryonal carcinoma, mixed"
9082/3,"Malignant teratoma, undifferentiated","Malignant teratoma, undifferentiated; Anaplastic malignant teratoma; Anaplastic teratoma, malignant; Malignant teratoma, anaplastic; Teratoma, anaplastic, malignant; Teratoma, malignant, anaplastic; Teratoma, malignant, undifferentiated; Teratoma, undifferentiated, malignant; Undifferentiated teratoma, malignant"
9083/3,"Malignant teratoma, intermediate","Malignant teratoma, intermediate; Intermediate malignant teratoma; Teratoma, intermediate, malignant; Teratoma, malignant, intermediate"
9084/0,"Dermoid cyst, NOS","Dermoid cyst, NOS; Cyst, dermoid, NOS; Dermoid, NOS"
9084/3,Teratoma with malignant transformation,"Teratoma with malignant transformation; Cyst, dermoid, with malignant transformation (C56.9); Cyst, dermoid, with secondary tumor; Dermoid cyst with malignant transformation (C56.9); Dermoid cyst with secondary tumor; Secondary tumor, dermoid cyst with; Transformation, malignant, dermoid cyst with (C56.9); Transformation, malignant, teratoma with; Tumor, secondary, dermoid cyst with"
9085/3,Mixed germ cell tumor,"Mixed germ cell tumor; Diffuse embryoma [2024+]; Embryoma, diffuse [2024+]; Germ cell tumor, mixed; Mixed seminoma and teratoma; Mixed teratoma and seminoma; Mixed teratoma and yolk sac tumor [2024+]; Seminoma and teratoma, mixed; Teratoma and seminoma, mixed; Teratoma, mixed and yolk sac tumor [2024+]; Tumor, germ cell, mixed; Tumor, mixed germ cell; Tumor, yolk sac and mixed teratoma [2024+]; Yolk sac tumor and mixed teratoma [2024+]"
9086/3,Germ cell tumors with associated hematological malignancy (C37.9) [2018+],"Germ cell tumors with associated hematological malignancy (C37.9) [2018+]; Hematological malignancy associated with germ cell tumors (C37.9) [2018+]; Malignancy, hematological, associated with germ cell tumors (C37.9) [2018+]; Tumors, germ cell, with associated hematological malignancy (C37.9) (2018+)"
9090/0,"Struma ovarii, NOS (C56.9)","Struma ovarii, NOS (C56.9); Ovarii, struma (C56.9)"
9090/3,"Struma ovarii, malignant (C56.9)","Struma ovarii, malignant (C56.9); Ovarii, struma, malignant (C56.9)"
9091/1,Strumal carcinoid (C56.9),"Strumal carcinoid (C56.9); Carcinoid and struma ovarii (C56.9); Carcinoid, struma ovarii and (C56.9); Carcinoid, strumal (C56.9); Struma ovarii and carcinoid (C56.9)"
9100/0,"Hydatidiform mole, NOS (C58.9)","Hydatidiform mole, NOS (C58.9); Complete hydatidiform mole (C58.9); Hydatid mole (C58.9); Hydatidiform mole, complete (C58.9); Mole, hydatid (C58.9); Mole, hydatidiform, complete (C58.9); Mole, hydatidiform, NOS (C58.9)"
9100/1,Invasive hydatidiform mole (C58.9),"Invasive hydatidiform mole (C58.9); Chorioadenoma (C58.9); Chorioadenoma destruens (C58.9); Destruens, chorioadenoma (C58.9); Hydatidiform mole, invasive (C58.9); Hydatidiform mole, malignant (C58.9); Invasive mole, NOS (C58.9); Malignant hydatidiform mole (C58.9); Mole, hydatidiform, invasive (C58.9); Mole, hydatidiform, malignant (C58.9); Mole, invasive, NOS (C58.9)"
9100/3,"Choriocarcinoma, NOS","Choriocarcinoma, NOS; Chorioepithelioma; Chorionepithelioma"
9101/3,Choriocarcinoma combined with other germ cell elements,"Choriocarcinoma combined with other germ cell elements; Carcinoma, embryonal, combined with choriocarcinoma; Choriocarcinoma combined with embryonal carcinoma; Choriocarcinoma combined with teratoma; Combined choriocarcinoma with embryonal carcinoma; Combined choriocarcinoma with other germ cell elements; Combined choriocarcinoma with teratoma; Elements, choriocarcinoma combined with other germ cell; Embryonal carcinoma, combined with choriocarcinoma; Germ cell elements, choriocarcinoma combined with other; Other germ cell elements, choriocarcinoma combined with; Teratoma combined with choriocarcinoma"
9102/3,"Malignant teratoma, trophoblastic","Malignant teratoma, trophoblastic; Teratoma, malignant, trophoblastic; Teratoma, trophoblastic, malignant; Trophoblastic malignant teratoma"
9103/0,Partial hydatidiform mole (C58.9),"Partial hydatidiform mole (C58.9); Hydatidiform mole, partial (C58.9); Mole, hydatidiform, partial (C58.9)"
9104/1,Placental site trophoblastic tumor (C58.9),"Placental site trophoblastic tumor (C58.9); Trophoblastic tumor, placental site (C58.9); Tumor, placental site trophoblastic (C58.9); Tumor, trophoblastic, placental site (C58.9)"
